year,month,day_of_week,day_night,accident_severity,accident_type,killed,severly_injured,lightly_injured,injured_pedestrians,casualties_ages_0-19,casualties_ages_20-64,casualties_ages_65_plus,total_casualties,vehicle_count,drivers,road_type,localization_quality,settlement,road1,location,road2,road3,road4,source_road
2021,January,Friday,Day,Light,Front to side collision,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Junction,Exact,,4.0,,5.0,,,4
2021,August,Thursday,Night,Light,Front to side collision,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,Junction,Exact,,4.0,,,,,4
2021,November,Monday,Day,Light,Front to side collision,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,2.0,2.0,Junction,Exact,,4.0,,5.0,,,4
2021,July,Friday,Day,Light,Front to side collision,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,3.0,3.0,Junction,Exact,,4.0,,461.0,,,4
2021,February,Monday,Night,Light,Front end collision,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,Junction,Exact,,4.0,,461.0,,,4
2021,July,Monday,Night,Light,Front to side collision,0.0,0.0,3.0,0.0,1.0,0.0,2.0,3.0,2.0,2.0,Junction,Exact,,4.0,,481.0,,,4
2021,May,Tuesday,Day,Light,Front to rear collision,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Junction,Exact,,4.0,,461.0,,,4
2021,October,Tuesday,Night,Light,Front to rear collision,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,3.0,3.0,Junction,Exact,,4.0,,44.0,,,4
2021,December,Friday,Night,Severe,Front to side collision,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Junction,Exact,,4.0,,3717.0,,,4
2021,April,Sunday,Night,Severe,Front to side collision,0.0,1.0,3.0,0.0,0.0,4.0,0.0,4.0,2.0,2.0,Junction,Exact,,4.0,,461.0,,,4
2021,November,Saturday,Night,Light,Front to rear collision,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Junction,Exact,,4.0,,,,,4
2021,August,Monday,Day,Severe,Side to side collision,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,Junction,Exact,,4.0,,42.0,,,4
2021,October,Friday,Day,Severe,Slip,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Junction,Exact,,4.0,,7.0,41.0,,4
2021,February,Sunday,Night,Fatal,Pedestrian,1.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,Junction,Exact,,4.0,,402.0,,,4
2021,April,Friday,Night,Severe,Pedestrian,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,Junction,Exact,,4.0,,402.0,,,4
2021,June,Wednesday,Night,Light,Side to side collision,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Junction,Exact,,4.0,,5.0,,,4
2021,May,Wednesday,Day,Light,Front to side collision,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,3.0,3.0,Junction,Exact,,4.0,,553.0,,,4
2021,June,Thursday,Night,Light,Side to side collision,0.0,0.0,4.0,0.0,1.0,3.0,0.0,4.0,4.0,4.0,Junction,Exact,,4.0,,,,,4
2021,June,Saturday,Day,Light,Front to side collision,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,Junction,Exact,,4.0,,7.0,41.0,,4
2021,March,Saturday,Night,Light,Hit an object,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,Junction,Exact,,4.0,,,,,4
2021,February,Sunday,Day,Light,Front to rear collision,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Junction,Exact,,4.0,,44.0,,,4
2021,May,Friday,Night,Light,Side to side collision,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Junction,Exact,,4.0,,4612.0,,,4
