location,year,total,fatal,severe,light
1.1,2015.0,4.0,1.0,1.0,2.0
1.1,2016.0,1.0,0.0,0.0,1.0
1.1,2017.0,2.0,0.0,0.0,2.0
1.1,2018.0,13.0,1.0,4.0,8.0
1.1,2019.0,4.0,0.0,0.0,4.0
1.1,2020.0,10.0,0.0,1.0,9.0
1.1,2021.0,7.0,0.0,4.0,3.0
1.2,2003.0,20.0,0.0,3.0,17.0
1.2,2004.0,19.0,2.0,6.0,11.0
1.2,2005.0,26.0,1.0,4.0,21.0
1.2,2006.0,21.0,2.0,4.0,15.0
1.2,2007.0,23.0,0.0,2.0,21.0
1.2,2008.0,22.0,1.0,6.0,15.0
1.2,2009.0,21.0,0.0,4.0,17.0
1.2,2010.0,15.0,1.0,4.0,10.0
1.2,2011.0,11.0,1.0,1.0,9.0
1.2,2012.0,5.0,1.0,0.0,4.0
1.2,2013.0,5.0,0.0,0.0,5.0
1.2,2014.0,6.0,0.0,4.0,2.0
1.2,2015.0,10.0,0.0,2.0,8.0
1.2,2016.0,5.0,0.0,0.0,5.0
1.2,2017.0,5.0,0.0,1.0,4.0
1.2,2018.0,7.0,0.0,0.0,7.0
1.2,2019.0,20.0,0.0,9.0,11.0
1.2,2020.0,19.0,0.0,3.0,16.0
1.2,2021.0,22.0,1.0,2.0,19.0
1.3,2003.0,5.0,0.0,0.0,5.0
1.3,2004.0,6.0,2.0,1.0,3.0
1.3,2005.0,2.0,0.0,0.0,2.0
1.3,2006.0,7.0,2.0,0.0,5.0
1.3,2007.0,4.0,0.0,1.0,3.0
1.3,2008.0,5.0,1.0,0.0,4.0
1.3,2009.0,7.0,1.0,0.0,6.0
1.3,2010.0,4.0,1.0,0.0,3.0
1.3,2011.0,3.0,0.0,1.0,2.0
1.3,2012.0,3.0,1.0,0.0,2.0
1.3,2013.0,2.0,0.0,1.0,1.0
1.3,2015.0,4.0,0.0,0.0,4.0
1.3,2016.0,7.0,2.0,2.0,3.0
1.3,2018.0,6.0,2.0,0.0,4.0
1.3,2019.0,11.0,1.0,5.0,5.0
1.3,2020.0,9.0,0.0,3.0,6.0
1.3,2021.0,5.0,0.0,0.0,5.0
1.4,2003.0,4.0,0.0,1.0,3.0
1.4,2004.0,7.0,1.0,0.0,6.0
1.4,2005.0,7.0,0.0,2.0,5.0
1.4,2006.0,8.0,0.0,0.0,8.0
1.4,2007.0,6.0,1.0,1.0,4.0
1.4,2008.0,10.0,0.0,0.0,10.0
1.4,2009.0,5.0,0.0,1.0,4.0
1.4,2010.0,5.0,1.0,1.0,3.0
1.4,2011.0,2.0,0.0,1.0,1.0
1.4,2012.0,2.0,0.0,0.0,2.0
1.4,2013.0,4.0,2.0,1.0,1.0
1.4,2015.0,6.0,0.0,2.0,4.0
1.4,2016.0,8.0,0.0,1.0,7.0
1.4,2017.0,4.0,0.0,1.0,3.0
1.4,2018.0,9.0,1.0,3.0,5.0
1.4,2019.0,12.0,1.0,3.0,8.0
1.4,2020.0,13.0,1.0,0.0,12.0
1.4,2021.0,8.0,0.0,1.0,7.0
1.4,2022.0,1.0,0.0,1.0,0.0
1.5,2003.0,25.0,1.0,4.0,20.0
1.5,2004.0,29.0,2.0,5.0,22.0
1.5,2005.0,17.0,0.0,3.0,14.0
1.5,2006.0,22.0,0.0,4.0,18.0
1.5,2007.0,20.0,0.0,4.0,16.0
1.5,2008.0,8.0,0.0,2.0,6.0
1.5,2009.0,14.0,0.0,0.0,14.0
1.5,2010.0,12.0,0.0,1.0,11.0
1.5,2011.0,7.0,1.0,1.0,5.0
1.5,2012.0,13.0,0.0,2.0,11.0
1.5,2013.0,10.0,0.0,3.0,7.0
1.5,2014.0,3.0,0.0,1.0,2.0
1.5,2015.0,13.0,0.0,2.0,11.0
1.5,2016.0,12.0,1.0,1.0,10.0
